"","Neurotic","Extroversion","Agreeableness","Conscientiousness"
"1",39,38,31,12
"2",6,38,27,12
"3",17,39,32,13
"4",28,35,39,13
"5",26,35,46,14
"6",17,37,28,15
"7",14,36,33,14
"8",27,38,58,17
"9",2,39,33,16
"10",26,38,25,18
"11",21,39,33,14
"12",18,41,37,19
"13",22,38,45,20
"14",13,35,37,18
"15",40,35,23,21
"16",19,36,NA,24
"17",14,41,33,25
"18",14,35,38,25
"19",15,34,43,25
"20",30,34,45,25
"21",15,34,30,25
"22",19,39,47,26
"23",13,43,28,27
"24",4,35,43,27
"25",12,34,47,27
"26",2,34,44,28
"27",28,37,47,28
"28",14,36,21,28
"29",17,38,NA,29
"30",26,36,41,29
"31",16,35,43,29
"32",28,36,45,29
"33",21,38,45,29
"34",17,34,49,29
"35",16,35,49,29
"36",38,43,49,29
"37",20,37,41,30
"38",33,35,43,30
"39",42,34,44,30
"40",19,35,46,30
"41",19,35,46,30
"42",27,35,49,30
"43",12,41,36,31
"44",11,35,39,31
"45",20,42,46,31
"46",28,34,47,31
"47",23,35,47,31
"48",18,42,49,31
"49",13,36,30,31
"50",25,36,54,31
"51",23,36,41,32
"52",27,39,42,32
"53",30,34,44,32
"54",37,36,45,32
"55",10,36,48,32
"56",3,34,49,32
"57",21,38,49,25
"58",10,38,30,25
"59",24,41,32,25
"60",24,41,31,27
"61",9,35,29,27
"62",8,43,22,27
"63",31,37,21,28
"64",7,37,40,28
"65",19,38,41,29
"66",42,43,44,29
"67",19,36,30,29
"68",24,44,31,29
"69",26,45,35,29
"70",14,36,15,29
"71",14,36,16,29
"72",10,39,44,29
"73",23,34,45,29
"74",16,34,46,29
"75",15,34,50,30
"76",15,34,30,29
"77",31,37,26,34
"78",30,52,24,28
"79",30,65,22,24
"80",30,42,51,24
"81",22,37,55,24
"82",15,46,37,25
"83",12,34,38,25
"84",20,38,30,25
"85",18,42,50,25
"86",36,38,56,35
"87",19,36,30,31
"88",19,37,21,31
"89",36,35,54,32
"90",27,45,55,23
"91",22,38,49,20
"92",23,41,35,22
"93",18,34,46,23
"94",15,35,47,24
"95",37,37,23,24
"96",15,38,25,25
"97",28,36,30,28
"98",10,36,30,27
"99",10,38,26,28
"100",10,38,25,27
"101",19,35,61,27
"102",16,39,25,28
"103",20,40,58,28
"104",14,38,30,28
"105",2,35,22,28
"106",0,41,34,33
"107",25,38,45,34
"108",25,38,47,43
"109",19,34,55,31
"110",12,40,63,32
"111",36,26,NA,34
"112",30,30,41,34
"113",34,13,42,34
"114",20,24,43,34
"115",41,30,43,34
"116",12,26,45,34
"117",12,26,45,34
"118",25,26,45,34
"119",23,25,48,34
"120",20,33,48,34
"121",16,29,49,34
"122",23,26,50,34
"123",24,33,50,34
"124",41,30,51,34
"125",25,31,55,34
"126",28,29,58,34
"127",28,29,58,34
"128",44,18,67,34
"129",19,33,34,35
"130",25,28,43,35
"131",24,28,46,35
"132",10,32,46,35
"133",28,19,48,35
"134",15,33,48,35
"135",25,28,49,35
"136",21,33,54,35
"137",8,29,56,35
"138",27,25,57,35
"139",14,32,57,35
"140",14,32,57,35
"141",27,30,43,36
"142",39,24,44,36
"143",11,32,45,36
"144",23,26,46,36
"145",15,31,46,36
"146",23,30,47,36
"147",21,30,47,36
"148",19,31,47,36
"149",24,32,49,36
"150",26,28,50,36
"151",14,32,50,36
"152",22,30,51,36
"153",34,20,53,36
"154",36,27,53,36
"155",22,23,54,36
"156",32,33,57,36
"157",25,24,46,37
"158",27,32,46,37
"159",19,29,50,37
"160",24,33,50,37
"161",30,27,51,37
"162",26,33,56,37
"163",16,25,39,38
"164",35,16,51,38
"165",27,26,51,38
"166",20,17,54,38
"167",33,27,60,38
"168",33,27,60,38
"169",31,32,44,39
"170",36,17,47,39
"171",13,30,51,39
"172",21,31,51,39
"173",25,24,54,39
"174",11,28,54,39
"175",20,24,55,39
"176",20,24,57,39
